scenario,min_method,max_method,min_el_plus_ul,max_el_plus_ul,abs_diff,rel_diff
125,Изотоническая регрессия,Бета-калибровка,666306210.9977937,691350934.259833,25044723.262039304,0.037587407784380134
126,Изотоническая регрессия,Бета-калибровка,661598085.6505818,686624895.4419644,25026809.79138255,0.037827814702293856
127,Изотоническая регрессия,Бета-калибровка,660615341.6906677,685106624.371606,24491282.680938244,0.03707343916394581
128,Изотоническая регрессия,Бета-калибровка,661162080.4311823,686428678.1960634,25266597.764881134,0.03821543689922948
129,Изотоническая регрессия,Бета-калибровка,661770443.9921418,687894899.4972241,26124455.50508225,0.03947661268684956
130,Изотоническая регрессия,Бета-калибровка,658097266.6354796,683931583.1901951,25834316.554715514,0.039256076365114516
131,Изотоническая регрессия,Бета-калибровка,657237958.045387,682822157.9576597,25584199.91227269,0.03892684468249461
132,Изотоническая регрессия,Бета-калибровка,659507138.4804752,685294130.7336893,25786992.25321412,0.03910039899284206
133,Изотоническая регрессия,Бета-калибровка,661610918.0935493,686768378.185116,25157460.0915668,0.038024554014402814
134,Изотоническая регрессия,Бета-калибровка,665007022.7212385,690568724.1658906,25561701.44465208,0.038438242862537685
135,Изотоническая регрессия,Бета-калибровка,662195783.036895,688116949.8348331,25921166.79793811,0.039144264373084776
136,Изотоническая регрессия,Бета-калибровка,656202410.6691879,682932495.2965243,26730084.627336383,0.04073451147501476
137,Изотоническая регрессия,Бета-калибровка,661482859.1519792,686135739.7072643,24652880.555285096,0.03726911470826331
138,Изотоническая регрессия,Бета-калибровка,656768649.3901813,682200408.880788,25431759.490606666,0.038722553998611846
139,Изотоническая регрессия,Бета-калибровка,663302807.2920475,688369462.1573095,25066654.86526203,0.03779066602717598
140,Изотоническая регрессия,Бета-калибровка,661341528.4009244,686358008.4609455,25016480.060021043,0.037826870059875214
141,Изотоническая регрессия,Бета-калибровка,663777688.7470946,689026179.8089149,25248491.06182027,0.03803757114746919
142,Изотоническая регрессия,Бета-калибровка,660194834.9726515,685281182.1799523,25086347.207300782,0.03799839968202717
143,Изотоническая регрессия,Бета-калибровка,660901271.1596987,686813212.7031442,25911941.543445468,0.03920697791665188
144,Изотоническая регрессия,Бета-калибровка,662599946.0714985,687564257.1626196,24964311.091121078,0.03767629508443588
145,Изотоническая регрессия,Бета-калибровка,662753563.3074888,688230837.384114,25477274.076625228,0.038441549751132585
146,Изотоническая регрессия,Бета-калибровка,661301614.7493404,686873500.0079381,25571885.25859773,0.03866901983641835
147,Изотоническая регрессия,Бета-калибровка,657533986.9426677,683690502.6176724,26156515.67500472,0.0397797166297434
148,Изотоническая регрессия,Бета-калибровка,660236006.9815571,685701686.2603467,25465679.27878952,0.03857057023474467
149,Изотоническая регрессия,Бета-калибровка,662435296.2578899,688155723.6910295,25720427.43313968,0.0388270787780103
150,Изотоническая регрессия,Бета-калибровка,657351172.7340446,682767420.6379807,25416247.903936148,0.038664642215857456
151,Изотоническая регрессия,Бета-калибровка,664754542.6722806,690363364.0872507,25608821.41497016,0.038523725331795336
152,Изотоническая регрессия,Бета-калибровка,665306765.1700933,690360927.3982456,25054162.228152275,0.037658060220907105
153,Изотоническая регрессия,Бета-калибровка,661134654.1660371,686527229.4170809,25392575.251043797,0.03840756960936238
154,Изотоническая регрессия,Бета-калибровка,658936370.0301917,684881776.3257265,25945406.29553485,0.039374676335358544
155,Изотоническая регрессия,Бета-калибровка,660353651.7412622,686286355.5348815,25932703.793619275,0.03927093266651632
156,Изотоническая регрессия,Бета-калибровка,656523790.635129,682079510.6408097,25555720.00568068,0.038925809498781105
157,Изотоническая регрессия,Бета-калибровка,657775287.6350408,683524108.0882885,25748820.453247786,0.039145314421623924
158,Изотоническая регрессия,Бета-калибровка,659984588.013488,685502291.355756,25517703.34226799,0.03866408974651161
159,Изотоническая регрессия,Бета-калибровка,659805605.5791901,685989014.3325938,26183408.753403664,0.03968351970944436
160,Изотоническая регрессия,Бета-калибровка,663703739.0060914,689011834.9127432,25308095.906651855,0.03813161568827561
161,Изотоническая регрессия,Бета-калибровка,657917874.088196,684004698.2157311,26086824.127535105,0.039650578217970835
162,Изотоническая регрессия,Бета-калибровка,661486550.9725425,686869511.5432684,25382960.570725918,0.038372602637811656
163,Изотоническая регрессия,Бета-калибровка,661154827.1744334,686718292.724397,25563465.549963593,0.03866487016243043
