method,n_bins,alpha,shrinkage,fit_ct,fit_mean_pd,fit_ct_gap_abs,oot_default_rate,oot_mean_pd,oot_default_gap,oot_abs_default_gap,brier_score,log_loss,ece_quantile,cal_slope,cal_intercept,rwa_bln,rwa_delta_vs_logit_pct,rwa_abs_delta_to_minus_1pct,candidate_switch_knots,n_binomial_bins,significant_bins_5pct,max_abs_z,min_binomial_p_value,mean_abs_dr_minus_pd
Французский сплайн,20.0,50.0,0.3,0.04807199590058929,0.0480719959005892,9.020562075079397e-17,0.047288058340929806,0.04907377123262182,-15.671416337489063,15.671416337489063,0.03404,0.13056,0.0051,0.9761,-0.0983,8.552626433503574,-0.008010294609821956,0.001989705390178044,5.0,10.0,2.0,3.2690716544973846,0.006101795397530738,0.004872198346442531
Французский сплайн,25.0,50.0,0.3,0.04807199590058929,0.04807199590058923,6.245004513516506e-17,0.047288058340929806,0.04906319244128582,-15.578576864724369,15.578576864724369,0.034,0.13041,0.00507,0.9797,-0.091,8.586491476453563,-0.012001619635695803,0.002001619635695803,6.0,10.0,2.0,3.1207311672615585,0.007908568320009095,0.0048436279799798
Французский сплайн,15.0,50.0,0.45,0.04807199590058929,0.0480719959005892,9.020562075079397e-17,0.047288058340929806,0.049087278897619845,-15.78995960551174,15.78995960551174,0.03406,0.13073,0.00535,0.979,-0.0925,8.552411102179107,-0.007984915716741332,0.0020150842832586686,4.0,10.0,2.0,3.4744883268354485,0.004250081902005978,0.00512416328207833
Французский сплайн,20.0,50.0,0.45,0.04807199590058929,0.048071995900589234,5.551115123125783e-17,0.047288058340929806,0.04907471968581973,-15.679739962753956,15.679739962753956,0.03403,0.13057,0.00498,0.9823,-0.0859,8.587082461687162,-0.012071272999380121,0.002071272999380121,5.0,10.0,2.0,3.386159502804708,0.00496666217628066,0.004760581277830524
Французский сплайн,35.0,35.0,0.3,0.04807199590058929,0.048071995900589234,5.551115123125783e-17,0.047288058340929806,0.04905690181087185,-15.523370292211325,15.523370292211325,0.03398,0.13038,0.00503,0.9798,-0.0907,8.587093920127446,-0.012072623488128459,0.0020726234881284587,9.0,10.0,2.0,3.1089628188466794,0.008072355268292067,0.004802905211998826
Французский сплайн,30.0,35.0,0.25,0.04807199590058929,0.0480719959005892,9.020562075079397e-17,0.047288058340929806,0.04907145283790299,-15.651070105436645,15.651070105436645,0.03402,0.13048,0.00517,0.9748,-0.101,8.551161544447444,-0.007837643172217326,0.0021623568277826747,7.0,10.0,2.0,3.132938483356215,0.007742083036850621,0.004944196333611918
Французский сплайн,20.0,35.0,1.0,0.04807199590058929,0.04807199590058925,4.163336342344337e-17,0.047288058340929806,0.0490919181371348,-15.830673571495026,15.830673571495026,0.03399,0.13085,0.00437,0.9921,-0.067,8.588173575420088,-0.012199871376022813,0.0021998713760228127,5.0,10.0,1.0,4.819850084033503,0.00019115312266385488,0.003663213277322004
Французский сплайн,80.0,20.0,0.15,0.04807199590058929,0.0480719959005892,9.020562075079397e-17,0.047288058340929806,0.04907351213963694,-15.669142537453808,15.669142537453808,0.03404,0.1305,0.00523,0.9734,-0.1039,8.550545567155172,-0.007765044251092317,0.0022349557489076835,20.0,10.0,2.0,2.982542268313959,0.010052563918149316,0.005013136203488809
Французский сплайн,10.0,50.0,0.75,0.04807199590058929,0.04807199590058922,6.938893903907228e-17,0.047288058340929806,0.049069370811963116,-15.632798245788308,15.632798245788308,0.03412,0.13106,0.00526,0.9878,-0.0739,8.550457499164692,-0.007754664580973539,0.0022453354190264613,2.0,10.0,2.0,4.307012390773263,0.0009691521617062411,0.0050392324464604635
Французский сплайн,80.0,10.0,0.45,0.04807199590058929,0.048071995900589234,5.551115123125783e-17,0.047288058340929806,0.04909016821009302,-15.815316211776349,15.815316211776349,0.03398,0.1305,0.0051,0.9774,-0.0965,8.550123846773912,-0.007715340398239518,0.0022846596017604822,20.0,10.0,2.0,3.4132214909136014,0.00473535022373274,0.004879870857108254
Французский сплайн,25.0,100.0,0.15,0.04807199590058929,0.04807199590058922,6.938893903907228e-17,0.047288058340929806,0.04906154771476267,-15.564142744757191,15.564142744757191,0.03403,0.13044,0.0051,0.9779,-0.0944,8.589471771091553,-0.01235287637529746,0.00235287637529746,6.0,10.0,2.0,2.86200872275344,0.012371951924998672,0.004884924760059623
Французский сплайн,50.0,50.0,0.15,0.04807199590058929,0.04807199590058922,6.938893903907228e-17,0.047288058340929806,0.04906723005003868,-15.614010919139446,15.614010919139446,0.03404,0.13046,0.00516,0.978,-0.0942,8.589642649146798,-0.012373016017797864,0.0023730160177978642,12.0,10.0,2.0,2.8527541643122607,0.012569862514602433,0.0049411452670804195
Французский сплайн,30.0,50.0,0.25,0.04807199590058929,0.04807199590058923,6.245004513516506e-17,0.047288058340929806,0.04906724076831815,-15.614104982760068,15.614104982760068,0.03402,0.13044,0.00507,0.979,-0.0924,8.590316095196844,-0.01245238819154924,0.00245238819154924,7.0,10.0,2.0,2.9746724871302805,0.010190251620005829,0.0048433571725004666
Французский сплайн,15.0,100.0,0.25,0.04807199590058929,0.0480719959005892,9.020562075079397e-17,0.047288058340929806,0.049073519423522796,-15.669206460836051,15.669206460836051,0.03406,0.13058,0.00515,0.9796,-0.0911,8.590558419175949,-0.012480948431782787,0.002480948431782787,4.0,10.0,2.0,2.9875822832267906,0.009965329792149829,0.004930216598292146
Французский сплайн,80.0,10.0,0.75,0.04807199590058929,0.04807199590058925,4.163336342344337e-17,0.047288058340929806,0.04910476397813591,-15.943408672120711,15.943408672120711,0.03395,0.13056,0.00495,0.9858,-0.0804,8.591458958264033,-0.01258708573107257,0.00258708573107257,20.0,10.0,2.0,3.6736061024768585,0.002987459637609547,0.004725633239724081
Французский сплайн,15.0,100.0,0.15,0.04807199590058929,0.04807199590058919,9.71445146547012e-17,0.047288058340929806,0.049073031839407505,-15.66492742264029,15.66492742264029,0.03407,0.13058,0.00532,0.9733,-0.1038,8.547411831738174,-0.007395703021766307,0.0026042969782336936,4.0,10.0,2.0,3.0066902646832476,0.009641191975406922,0.005103965953805298
Французский сплайн,30.0,50.0,0.15,0.04807199590058929,0.0480719959005892,9.020562075079397e-17,0.047288058340929806,0.04906904684859065,-15.629955143231541,15.629955143231541,0.03404,0.13049,0.00525,0.973,-0.1046,8.547354772213081,-0.007388978001195543,0.0026110219988044574,7.0,10.0,2.0,2.9990430057815054,0.00976967527370297,0.00503850550785064
Французский сплайн,20.0,35.0,0.6,0.04807199590058929,0.04807199590058922,6.938893903907228e-17,0.047288058340929806,0.0490833010610766,-15.755050112008234,15.755050112008234,0.03401,0.13067,0.00505,0.9805,-0.0897,8.546984529065554,-0.007345341241526758,0.0026546587584732424,5.0,10.0,2.0,3.8698893133690566,0.0021081257390209323,0.004822115436071634
Французский сплайн,50.0,20.0,0.45,0.04807199590058929,0.04807199590058924,4.85722573273506e-17,0.047288058340929806,0.049081267381375755,-15.737202538953625,15.737202538953625,0.03399,0.13045,0.00504,0.983,-0.085,8.592998982708396,-0.012768592605708074,0.0027685926057080743,12.0,10.0,2.0,3.2977272433971496,0.005802508045364379,0.0048176794062054305
